lof_csq_collapsed,Singletons,Expected_Singletons,N_variants,PS,MAPS,MAPS_Sem,downsampling,population
missense_variant,31477,2.2719e+04,109763,2.8677e-01,7.9786e-02,1.3651e-03,1047,asj
missense_variant,157214,1.2531e+05,295180,5.3260e-01,1.0810e-01,9.1834e-04,1047,afr
missense_variant,150537,1.2903e+05,239118,6.2955e-01,8.9959e-02,9.8758e-04,1047,eas
missense_variant,162318,1.3817e+05,268010,6.0564e-01,9.0095e-02,9.4401e-04,1047,sas
missense_variant,132289,1.0860e+05,250902,5.2725e-01,9.4413e-02,9.9672e-04,1047,amr
missense_variant,191431,1.6485e+05,290578,6.5879e-01,9.1482e-02,8.7953e-04,1736,nfe
missense_variant,50380,3.7592e+04,123683,4.0733e-01,1.0340e-01,1.3971e-03,1736,fin
missense_variant,38230,2.7404e+04,127251,3.0043e-01,8.5076e-02,1.2852e-03,1736,asj
missense_variant,214349,1.7378e+05,388296,5.5202e-01,1.0449e-01,7.9804e-04,1736,afr
missense_variant,209019,1.8257e+05,329449,6.3445e-01,8.0274e-02,8.3903e-04,1736,eas
missense_variant,223675,1.9371e+05,366116,6.1094e-01,8.1854e-02,8.0575e-04,1736,sas
missense_variant,173541,1.4446e+05,326655,5.3127e-01,8.9020e-02,8.7312e-04,1736,amr
missense_variant,212135,1.8354e+05,319311,6.6435e-01,8.9560e-02,8.3567e-04,2000,nfe
missense_variant,54268,4.0582e+04,130903,4.1457e-01,1.0455e-01,1.3616e-03,2000,fin
missense_variant,234161,1.9083e+05,420521,5.5684e-01,1.0304e-01,7.6604e-04,2000,afr
missense_variant,228055,1.9982e+05,359585,6.3422e-01,7.8524e-02,8.0321e-04,2000,eas
missense_variant,244187,2.1200e+05,399391,6.1140e-01,8.0599e-02,7.7129e-04,2000,sas
missense_variant,188204,1.5775e+05,352540,5.3385e-01,8.6396e-02,8.4017e-04,2000,amr
missense_variant,243454,2.1201e+05,363205,6.7029e-01,8.6565e-02,7.8005e-04,2419,nfe
missense_variant,60229,4.5537e+04,141867,4.2455e-01,1.0356e-01,1.3123e-03,2419,fin
missense_variant,262537,2.1561e+05,467641,5.6141e-01,1.0034e-01,7.2563e-04,2419,afr
missense_variant,256737,2.2643e+05,405238,6.3355e-01,7.4797e-02,7.5691e-04,2419,eas
