lof_csq_collapsed,Singletons,Expected_Singletons,N_variants,PS,MAPS,MAPS_Sem,downsampling,population
synonymous_variant,112020,8.2846e+04,191137,5.8607e-01,1.5263e-01,1.1266e-03,2000,nfe
synonymous_variant,26440,3.6492e+04,83167,3.1791e-01,-1.2087e-01,1.6147e-03,2000,fin
synonymous_variant,126924,1.1942e+05,274646,4.6214e-01,2.7318e-02,9.5134e-04,2000,afr
synonymous_variant,120733,9.2370e+04,213308,5.6600e-01,1.3297e-01,1.0731e-03,2000,eas
synonymous_variant,132361,1.0621e+05,244855,5.4057e-01,1.0681e-01,1.0071e-03,2000,sas
synonymous_variant,104437,9.9614e+04,228963,4.5613e-01,2.1063e-02,1.0409e-03,2000,amr
synonymous_variant,127321,9.2785e+04,214091,5.9471e-01,1.6131e-01,1.0611e-03,2419,nfe
synonymous_variant,29075,3.8751e+04,88418,3.2884e-01,-1.0943e-01,1.5799e-03,2419,fin
synonymous_variant,140767,1.3059e+05,300066,4.6912e-01,3.3911e-02,9.1103e-04,2419,afr
synonymous_variant,135143,1.0296e+05,237646,5.6867e-01,1.3542e-01,1.0159e-03,2419,eas
synonymous_variant,147438,1.1821e+05,272229,5.4160e-01,1.0738e-01,9.5498e-04,2419,sas
synonymous_variant,115285,1.0890e+05,250310,4.6057e-01,2.5510e-02,9.9627e-04,2419,amr
synonymous_variant,133504,9.6922e+04,223506,5.9732e-01,1.6368e-01,1.0374e-03,2604,nfe
synonymous_variant,30206,3.9690e+04,90602,3.3339e-01,-1.0468e-01,1.5662e-03,2604,fin
synonymous_variant,146470,1.3524e+05,310662,4.7148e-01,3.6159e-02,8.9561e-04,2604,afr
synonymous_variant,140973,1.0741e+05,247820,5.6885e-01,1.3542e-01,9.9482e-04,2604,eas
synonymous_variant,120091,1.1285e+05,259373,4.6301e-01,2.7908e-02,9.7907e-04,2604,amr
synonymous_variant,202054,1.4405e+05,331024,6.1039e-01,1.7523e-01,8.4760e-04,5000,nfe
synonymous_variant,42265,4.9839e+04,114200,3.7010e-01,-6.6324e-02,1.4288e-03,5000,fin
synonymous_variant,206509,1.8625e+05,425546,4.8528e-01,4.7607e-02,7.6614e-04,5000,afr
synonymous_variant,168839,1.5484e+05,354764,4.7592e-01,3.9456e-02,8.3849e-04,5000,amr
synonymous_variant,209874,1.4970e+05,343728,6.1058e-01,1.7507e-01,8.3171e-04,5316,nfe
synonymous_variant,43764,5.1006e+04,116902,3.7436e-01,-6.1951e-02,1.4155e-03,5316,fin
synonymous_variant,213297,1.9213e+05,438627,4.8628e-01,4.8248e-02,7.5467e-04,5316,afr
synonymous_variant,173886,1.5942e+05,365036,4.7635e-01,3.9623e-02,8.2664e-04,5316,amr
synonymous_variant,260020,1.8779e+05,429086,6.0599e-01,1.6832e-01,7.4596e-04,7647,nfe
synonymous_variant,254294,2.3053e+05,523736,4.8554e-01,4.5375e-02,6.9061e-04,7647,afr
synonymous_variant,209472,1.9083e+05,435406,4.8110e-01,4.2809e-02,7.5720e-04,7647,amr
synonymous_variant,302361,2.2182e+05,504429,5.9941e-01,1.5966e-01,6.8994e-04,10000,nfe
synonymous_variant,286876,2.6370e+05,596392,4.8102e-01,3.8868e-02,6.4698e-04,10000,afr
synonymous_variant,376006,2.8522e+05,642658,5.8508e-01,1.4127e-01,6.1461e-04,15000,nfe
synonymous_variant,340121,3.2340e+05,725154,4.6903e-01,2.3061e-02,5.8603e-04,15000,afr
synonymous_variant,432948,3.3942e+05,758887,5.7050e-01,1.2324e-01,5.6823e-04,20000,nfe
synonymous_variant,378020,3.7209e+05,828635,4.5620e-01,7.1532e-03,5.4716e-04,20000,afr
synonymous_variant,440510,3.4678e+05,774513,5.6876e-01,1.2102e-01,5.6274e-04,20744,nfe
synonymous_variant,382794,3.7873e+05,842660,4.5427e-01,4.8259e-03,5.4240e-04,20744,afr
synonymous_variant,480030,3.8725e+05,860076,5.5813e-01,1.0788e-01,5.3548e-04,25000,nfe
synonymous_variant,520407,4.3079e+05,951170,5.4712e-01,9.4214e-02,5.1039e-04,30000,nfe
synonymous_variant,548740,4.6293e+05,1017656,5.3922e-01,8.4317e-02,4.9412e-04,34029,nfe
